Departure Time 1;From1;Day Of Week;To1;Departure Time 2;From2;To2;Type
26.12.2015 11:35;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Одинцово;26.12.2015 11:55;Одинцово;Дубки;Bus
26.12.2015 11:45;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Одинцово;26.12.2015 12:05;Одинцово;Дубки;Bus
26.12.2015 11:50;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Одинцово;26.12.2015 12:10;Одинцово;Дубки;Bus
26.12.2015 11:55;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Одинцово;26.12.2015 12:15;Одинцово;Дубки;Bus
26.12.2015 12:00;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Одинцово;26.12.2015 12:20;Одинцово;Дубки;Bus
26.12.2015 12:45;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Славянский Бульвар;26.12.2015 14:30;Славянский Бульвар;Дубки;Bus
26.12.2015 13:05;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Славянский Бульвар;26.12.2015 14:45;Славянский Бульвар;Дубки;Bus
26.12.2015 13:15;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Славянский Бульвар;26.12.2015 15:05;Славянский Бульвар;Дубки;Bus
26.12.2015 13:55;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Одинцово;26.12.2015 14:20;Одинцово;Дубки;Bus
26.12.2015 14:20;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Одинцово;26.12.2015 14:40;Одинцово;Дубки;Bus
26.12.2015 14:30;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Одинцово;26.12.2015 14:52;Одинцово;Дубки;Bus
26.12.2015 14:40;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Одинцово;26.12.2015 15:00;Одинцово;Дубки;Bus
26.12.2015 14:55;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Одинцово;26.12.2015 15:15;Одинцово;Дубки;Bus
26.12.2015 15:10;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Одинцово;26.12.2015 15:35;Одинцово;Дубки;Bus
26.12.2015 15:40;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Одинцово;26.12.2015 16:00;Одинцово;Дубки;Bus
