Number;DepartureTime;DayOfWeek;From;To;Type
339;19.03.2016 10:15;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 10:25;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 10:35;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 10:45;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 10:55;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 11:05;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 11:15;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 11:25;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 11:35;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 11:45;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 11:55;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 12:05;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 12:15;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 12:25;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 12:35;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 12:45;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 12:55;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 13:05;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 13:15;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 13:25;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 13:35;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 13:45;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 13:55;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 14:05;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 14:15;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 14:25;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 14:35;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 14:45;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 14:55;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 15:05;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 15:15;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 15:25;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 15:35;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 15:45;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 15:55;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 16:05;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 16:15;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 16:25;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 16:35;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 16:45;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 16:55;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 17:05;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 17:15;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 17:25;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 17:35;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 17:45;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 17:55;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 18:05;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 18:15;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 18:25;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 18:35;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 18:45;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 18:55;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 19:05;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 19:15;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 19:25;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 19:35;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 19:45;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 19:55;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 20:05;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 20:15;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 20:25;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 20:35;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 20:45;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 20:55;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 21:05;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 21:15;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 21:25;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 21:35;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 21:45;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 21:55;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 22:05;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 22:15;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Одинцово;Парк Победы;Bus
339;19.03.2016 6:40;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 6:50;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 7:00;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 7:10;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 7:20;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 7:30;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 7:40;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 7:50;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 8:00;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 8:10;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 8:20;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 8:30;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 8:40;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 8:50;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 9:00;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 9:10;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 9:20;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 9:30;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 9:40;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 9:50;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 10:00;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 10:10;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 10:20;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 10:30;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 10:40;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 10:50;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 11:00;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 11:10;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 11:20;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 11:30;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 11:40;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 11:50;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
